BID,Nearest_FID,N,M,block_M
1000515,7413,0,0.0,0.211340206185567
1001514,7537,0,0.0,0.731958762886598
1001515,7537,1,0.22680412371134,0.396907216494845
1002514,7537,0,0.0,0.783505154639175
1003514,7537,0,0.0,0.974226804123711
1003515,7537,1,0.695876288659794,0.871134020618557
1004515,7537,1,0.670103092783505,0.969072164948454
1005514,7537,0,0.0,0.963917525773196
1005515,7413,0,0.0,0.559278350515464
1006514,7537,0,0.0,0.927835051546392
1006515,7537,0,0.0,0.350515463917526
1007515,7537,0,0.0,0.0515463917525773
1008514,7537,0,0.0,0.994845360824742
1008515,7537,0,0.0,0.319587628865979
1008516,9689,1,0.298969072164948,0.237113402061856
1009515,7537,1,0.793814432989691,0.835051546391753
1009516,9689,0,0.0,0.185567010309278
1010514,7537,0,0.0,0.865979381443299
1010515,7537,1,0.927835051546392,0.809278350515464
1011514,7537,0,0.0,0.505154639175258
1011515,7537,1,0.582474226804124,0.592783505154639
1011516,9689,0,0.0,0.716494845360825
1012514,7537,0,0.0,0.412371134020619
1012515,7537,0,0.0,0.164948453608247
1012516,9689,0,0.0,0.530927835051546
1013514,7537,0,0.0,0.628865979381443
1013515,7537,1,0.252577319587629,0.422680412371134
1013516,9689,0,0.0,0.788659793814433
1014514,7537,0,0.0,0.88659793814433
1014515,7537,0,0.0,0.559278350515464
1014516,9689,0,0.0,0.989690721649485
1015515,7413,0,0.0,0.170103092783505
1015516,9689,0,0.0,0.958762886597938
1016514,7537,0,0.0,0.845360824742268
1016515,7413,0,0.0,0.219072164948454
1016516,9689,0,0.0,0.747422680412371
1017514,7537,0,0.0,0.824742268041237
1017515,7413,0,0.0,0.0257731958762887
1017516,9689,1,0.912371134020619,0.793814432989691
1018514,7537,1,0.675257731958763,0.603092783505155
1018515,7413,0,0.0,0.304123711340206
1018516,9689,0,0.0,0.103092783505155
1019514,7537,0,0.0,0.943298969072165
1019515,7413,0,0.0,0.262886597938144
1019516,9689,0,0.0,0.0360824742268041
1020514,7537,0,0.0,0.77319587628866
1020515,7413,0,0.0,0.670103092783505
1020516,9689,0,0.0,0.402061855670103
1021514,7537,0,0.0,0.752577319587629
1021515,7413,0,0.0,0.649484536082474
1022515,7413,0,0.0,0.489690721649485
1023514,7537,0,0.0,0.891752577319588
1023515,7413,0,0.0,0.0567010309278351
1024514,7537,0,0.0,0.855670103092783
1024515,7413,0,0.0,0.466494845360825
1024516,9689,0,0.0,0.95360824742268
1025514,7537,0,0.0,0.685567010309278
1025515,7413,0,0.0,0.63659793814433
1025516,9689,1,0.824742268041237,0.804123711340206
1026514,7537,0,0.0,0.706185567010309
1026515,7413,0,0.0,0.56701030927835
1026516,9689,0,0.0,0.698453608247423
1027515,7413,0,0.0,0.0824742268041237
1027516,9689,0,0.0,0.201030927835052
1028515,7413,0,0.0,0.381443298969072
2000514,7537,1,0.664948453608247,0.72680412371134
2000515,7537,0,0.0,0.920103092783505
2001514,7537,0,0.0,0.329896907216495
2001515,7537,0,0.0,1.0
2002515,7537,1,0.819587628865979,0.829896907216495
2002516,9689,0,0.0,0.742268041237113
2003514,7537,0,0.0,0.690721649484536
2003515,7537,1,0.876288659793814,0.876288659793814
2003516,9689,0,0.0,0.979381443298969
2004514,7537,0,0.0,0.65979381443299
2004515,7537,1,0.190721649484536,0.283505154639175
2004516,9689,0,0.0,0.902061855670103
2005514,7537,0,0.0,0.63659793814433
2005515,7537,1,0.402061855670103,0.355670103092784
2005516,9689,0,0.0,0.907216494845361
2006515,7413,0,0.0,0.134020618556701
2006516,9689,0,0.0,0.291237113402062
2007515,7413,1,0.123711340206186,0.123711340206186
2007516,9689,1,0.237113402061856,0.175257731958763
2008515,7413,1,0.608247422680412,0.680412371134021
2008516,9689,0,0.0,0.675257731958763
2009514,7537,0,0.0,0.938144329896907
2009515,7413,0,0.0,0.466494845360825
2009516,9689,1,0.211340206185567,0.15979381443299
2010514,7537,0,0.0,0.912371134020619
2010515,7413,0,0.0,0.582474226804124
2010516,9689,0,0.0,0.180412371134021
2011515,7413,0,0.0,0.0876288659793814
2011516,9689,1,0.536082474226804,0.525773195876289
2012515,7413,0,0.0,0.190721649484536
2012516,9689,1,0.077319587628866,0.0721649484536082
2013515,7413,0,0.0,0.149484536082474
2013516,9689,1,0.65979381443299,0.597938144329897
2014515,7413,0,0.0,0.108247422680412
2015515,7413,0,0.0,0.22680412371134
2016515,7413,0,0.0,0.520618556701031
2016516,9689,0,0.0,0.451030927835052
2017515,7413,0,0.0,0.077319587628866
2017516,9689,0,0.0,0.0618556701030928
2018515,7413,0,0.0,0.0206185567010309
2018516,9689,0,0.0,0.118556701030928
2019515,7413,0,0.0,0.757731958762887
2019516,9689,0,0.0,0.376288659793814
2020515,7413,1,0.701030927835051,0.711340206185567
2020516,9689,0,0.0,0.0051546391752577
2021516,9689,0,0.0,0.242268041237113
2022515,7537,0,0.0,0.984536082474227
