BID,Nearest_FID,N,M,block_M
1000515,7413,0,0.0,0.170103092783505
1001514,7537,0,0.0,0.871134020618557
1001515,7537,1,0.670103092783505,0.695876288659794
1002514,7537,0,0.0,0.891752577319588
1003514,7537,0,0.0,0.989690721649485
1003515,7537,1,0.737113402061856,0.783505154639175
1004515,7537,1,0.747422680412371,0.876288659793814
1005514,7537,0,0.0,0.984536082474227
1005515,7413,0,0.0,0.396907216494845
1006514,7537,0,0.0,0.917525773195876
1006515,7537,0,0.0,0.255154639175258
1007515,7537,0,0.0,0.0515463917525773
1008514,7537,0,0.0,0.958762886597938
1008515,7537,0,0.0,0.262886597938144
1008516,9689,1,0.680412371134021,0.63659793814433
1009515,7537,1,0.783505154639175,0.829896907216495
1009516,9689,0,0.0,0.175257731958763
1010514,7537,0,0.0,0.922680412371134
1010515,7537,1,0.88659793814433,0.850515463917526
1011514,7537,0,0.0,0.757731958762887
1011515,7537,1,0.72680412371134,0.72680412371134
1011516,9689,0,0.0,0.814432989690722
1012514,7537,0,0.0,0.791237113402062
1012515,7537,0,0.0,0.154639175257732
1012516,9689,0,0.0,0.734536082474227
1013514,7537,0,0.0,0.88659793814433
1013515,7537,1,0.649484536082474,0.685567010309278
1013516,9689,0,0.0,0.791237113402062
1014514,7537,0,0.0,0.90979381443299
1014515,7537,0,0.0,0.417525773195876
1014516,9689,0,0.0,0.948453608247423
1015515,7413,0,0.0,0.144329896907216
1015516,9689,0,0.0,0.938144329896907
1016514,7537,0,0.0,0.963917525773196
1016515,7413,0,0.0,0.164948453608247
1016516,9689,0,0.0,0.768041237113402
1017514,7537,0,0.0,0.778350515463918
1017515,7413,0,0.0,0.0257731958762887
1017516,9689,1,0.865979381443299,0.824742268041237
1018514,7537,1,0.788659793814433,0.798969072164949
1018515,7413,0,0.0,0.221649484536082
1018516,9689,0,0.0,0.0979381443298969
1019514,7537,0,0.0,0.979381443298969
1019515,7413,0,0.0,0.195876288659794
1019516,9689,0,0.0,0.0309278350515464
1020514,7537,0,0.0,0.860824742268041
1020515,7413,0,0.0,0.5
1020516,9689,0,0.0,0.329896907216495
1021514,7537,0,0.0,0.93298969072165
1021515,7413,0,0.0,0.484536082474227
1022515,7413,0,0.0,0.38659793814433
1023514,7537,0,0.0,0.974226804123711
1023515,7413,0,0.0,0.0670103092783505
1024514,7537,0,0.0,0.90979381443299
1024515,7413,0,0.0,0.360824742268041
1024516,9689,0,0.0,0.865979381443299
1025514,7537,0,0.0,0.845360824742268
1025515,7413,0,0.0,0.474226804123711
1025516,9689,1,0.824742268041237,0.762886597938144
1026514,7537,0,0.0,0.896907216494845
1026515,7413,0,0.0,0.435567010309278
1026516,9689,0,0.0,0.520618556701031
1027515,7413,0,0.0,0.0618556701030928
1027516,9689,0,0.0,0.190721649484536
1028515,7413,0,0.0,0.298969072164948
2000514,7537,1,0.760309278350515,0.77319587628866
2000515,7537,0,0.0,0.969072164948454
2001514,7537,0,0.0,0.335051546391753
2001515,7537,0,0.0,0.994845360824742
2002515,7537,1,0.881443298969072,0.902061855670103
2002516,9689,0,0.0,0.819587628865979
2003514,7537,0,0.0,0.551546391752577
2003515,7537,1,0.835051546391753,0.855670103092783
2003516,9689,0,0.0,0.881443298969072
