"","dist_F7413","dist_F7537","dist_F9689","RID","min_dist","min_FID","min_inv_dist","Block_y","Tract","BID"
"1",134,105,154,8869,105,"7537",0.00952380952380952,1001,514,"1001514"
"2",133,104,153,8656,104,"7537",0.00961538461538462,1001,514,"1001514"
"3",125,96,145,9522,96,"7537",0.0104166666666667,1001,514,"1001514"
"4",127,98,147,10287,98,"7537",0.0102040816326531,1001,514,"1001514"
"5",127,98,147,8449,98,"7537",0.0102040816326531,1001,514,"1001514"
"6",127,98,147,9793,98,"7537",0.0102040816326531,1001,514,"1001514"
"7",132,103,152,7437,103,"7537",0.00970873786407767,1001,514,"1001514"
"8",151,122,171,9286,122,"7537",0.00819672131147541,1001,514,"1001514"
"9",204,175,224,8720,175,"7537",0.00571428571428571,1001,514,"1001514"
"10",201,172,221,8569,172,"7537",0.00581395348837209,1001,514,"1001514"
"11",199,170,219,7906,170,"7537",0.00588235294117647,1001,514,"1001514"
"12",200,171,220,7875,171,"7537",0.00584795321637427,1001,514,"1001514"
"13",193,164,213,10136,164,"7537",0.00609756097560976,1001,514,"1001514"
"14",132,104,177,10363,104,"7537",0.00961538461538462,1001,514,"1001514"
"15",128,100,173,8736,100,"7537",0.01,1001,514,"1001514"
"16",129,101,174,9092,101,"7537",0.0099009900990099,1001,514,"1001514"
"17",126,98,171,9023,98,"7537",0.0102040816326531,1001,514,"1001514"
"18",126,98,171,7738,98,"7537",0.0102040816326531,1001,514,"1001514"
"19",122,94,167,9525,94,"7537",0.0106382978723404,1001,514,"1001514"
"20",120,92,165,8876,92,"7537",0.0108695652173913,1001,514,"1001514"
"21",115,87,160,10084,87,"7537",0.0114942528735632,1001,514,"1001514"
"22",111,83,156,9299,83,"7537",0.0120481927710843,1001,514,"1001514"
"23",112,84,157,10291,84,"7537",0.0119047619047619,1001,514,"1001514"
"24",113,85,158,8587,85,"7537",0.0117647058823529,1001,514,"1001514"
"25",115,87,160,10769,87,"7537",0.0114942528735632,1001,514,"1001514"
"26",116,88,161,10770,88,"7537",0.0113636363636364,1001,514,"1001514"
"27",119,91,164,8501,91,"7537",0.010989010989011,1001,514,"1001514"
"28",121,93,166,10637,93,"7537",0.010752688172043,1001,514,"1001514"
"29",135,107,156,8249,107,"7537",0.00934579439252336,1001,514,"1001514"
"30",132,104,159,10698,104,"7537",0.00961538461538462,1001,514,"1001514"
"31",131,103,160,8096,103,"7537",0.00970873786407767,1001,514,"1001514"
"32",129,101,162,7368,101,"7537",0.0099009900990099,1001,514,"1001514"
"33",127,99,164,7200,99,"7537",0.0101010101010101,1001,514,"1001514"
"34",126,98,165,8098,98,"7537",0.0102040816326531,1001,514,"1001514"
"35",121,93,166,10504,93,"7537",0.010752688172043,1001,514,"1001514"
"36",171,142,191,7116,142,"7537",0.00704225352112676,1001,514,"1001514"
"37",175,146,195,8443,146,"7537",0.00684931506849315,1001,514,"1001514"
"38",180,151,200,7877,151,"7537",0.00662251655629139,1001,514,"1001514"
"39",182,153,202,8459,153,"7537",0.0065359477124183,1001,514,"1001514"
"40",192,163,212,10277,163,"7537",0.00613496932515337,1001,514,"1001514"
"41",197,168,217,8721,168,"7537",0.00595238095238095,1001,514,"1001514"
"42",198,169,218,9282,169,"7537",0.00591715976331361,1001,514,"1001514"
"43",109,81,154,7944,81,"7537",0.0123456790123457,1002,514,"1002514"
"44",110,82,155,8874,82,"7537",0.0121951219512195,1002,514,"1002514"
"45",112,84,157,7822,84,"7537",0.0119047619047619,1002,514,"1002514"
"46",121,93,166,10699,93,"7537",0.010752688172043,1002,514,"1002514"
"47",119,91,164,10006,91,"7537",0.010989010989011,1002,514,"1002514"
"48",115,87,160,10290,87,"7537",0.0114942528735632,1002,514,"1002514"
"49",118,90,163,9297,90,"7537",0.0111111111111111,1002,514,"1002514"
"50",147,118,167,8371,118,"7537",0.00847457627118644,1003,514,"1003514"
"51",145,116,165,9999,116,"7537",0.00862068965517241,1003,514,"1003514"
"52",141,112,161,7436,112,"7537",0.00892857142857143,1003,514,"1003514"
"53",140,111,160,10280,111,"7537",0.00900900900900901,1003,514,"1003514"
"54",138,109,158,10761,109,"7537",0.00917431192660551,1003,514,"1003514"
"55",139,110,159,8086,110,"7537",0.00909090909090909,1005,514,"1005514"
"56",153,124,173,7726,124,"7537",0.00806451612903226,1005,514,"1005514"
"57",155,126,175,10759,126,"7537",0.00793650793650794,1005,514,"1005514"
"58",151,122,171,10214,122,"7537",0.00819672131147541,1005,514,"1005514"
"59",144,115,164,7590,115,"7537",0.00869565217391304,1005,514,"1005514"
"60",142,113,162,10694,113,"7537",0.00884955752212389,1005,514,"1005514"
"61",138,109,158,8581,109,"7537",0.00917431192660551,1005,514,"1005514"
"62",126,98,165,9523,98,"7537",0.0102040816326531,1006,514,"1006514"
"63",131,103,160,9294,103,"7537",0.00970873786407767,1006,514,"1006514"
"64",135,106,155,8585,106,"7537",0.00943396226415094,1006,514,"1006514"
